1,brake pads,4500,12.00,14,2024-12-01 00:00:00.000,1,1
2,brake rotors,4501,23.00,35,2024-12-01 00:00:00.000,1,2
3,brake calipers,4563,34.00,23,2024-12-01 00:00:00.000,1,3
4,fuel filters,2501,32.00,12,2024-12-01 00:00:00.000,2,4
5,throttle body,3201,21.00,25,2024-12-03 00:00:00.000,3,5
6,clutch pads,4508,45.00,21,2024-12-01 00:00:00.000,4,6
7,"engine oil ",9654,9.00,16,2024-12-01 00:00:00.000,5,7
8,fog light,7895,150.00,15,2024-12-02 00:00:00.000,6,8
9,engine oil filter,5635,31.00,18,2024-12-01 00:00:00.000,2,9
10,brake drums,4509,15.00,14,2024-12-03 00:00:00.000,1,10
11," Front Disc Brake Rotor",HO5051,42.18,23,2024-12-01 00:00:00.000,1,11
12," Front Ceramic Pads",BCD914,37.38,12,2024-12-01 00:00:00.000,1,12
13,Front Semi Metallic Pads,SIM-914,27.90,25,2024-12-01 00:00:00.000,1,13
14," Front Semi Metallic Pads",PPF-D914,34.25,21,2024-12-01 00:00:00.000,1,14
15," Rear Super Premium Ceramic Pads",105.1878,57.57,16,2024-12-03 00:00:00.000,1,15
16," Rear Premium Ceramic Pads",301.1878,54.41,15,2024-12-01 00:00:00.000,1,16
17,Rear Ceramic Pads,BE1878H,53.14,18,2024-12-01 00:00:00.000,1,17
18,Rear Disc Brake Rotor,8-982073,28.77,23,2024-12-02 00:00:00.000,1,18
19,Rear Caliper Bushing,H16113,15.31,12,2024-12-01 00:00:00.000,1,19
20,Rear Ceramic Pads,BC1878,55.99,25,2024-12-03 00:00:00.000,1,20
21,Rear Disc Brake Rotor,JBR1728EVC,44.31,21,2024-12-01 00:00:00.000,1,21
22,Front Disc Brake Rotor,B31257,44.47,16,2024-12-01 00:00:00.000,1,22
23," Front Brake Rotor Bolt Or Screw",13822,10.33,15,2024-12-01 00:00:00.000,1,23
24,Front Disc Brake Rotor,RS982053B,51.72,18,2024-12-01 00:00:00.000,1,24
25,Solid Rear Performance Rotor,982073,42.15,14,2024-12-03 00:00:00.000,1,25
26,Front Ceramic Pads,17-914,54.38,23,2024-12-01 00:00:00.000,1,26
27,Front Semi Metallic Pads,RSD914MH,35.98,12,2024-12-01 00:00:00.000,1,27
28,Rear Disc Brake Rotor,WS1-230091,39.58,25,2024-12-02 00:00:00.000,1,28
29,Rear Disc Brake Rotor,RS982073B,32.06,21,2024-12-01 00:00:00.000,1,29
30,Vented Front Performance Rotor,982053,75.99,16,2024-12-03 00:00:00.000,1,30
31,Front Disc Brake Rotor,WS1-230085,64.16,15,2024-12-01 00:00:00.000,1,31
32,Front Disc Brake Rotor,8-982053,46.86,18,2024-12-01 00:00:00.000,1,32
33,Rear Ceramic Pads,ACT1878,90.38,23,2024-12-01 00:00:00.000,1,33
34,Rear Hybrid Pads,EHT1878H,67.59,12,2024-12-01 00:00:00.000,1,34
35,Front Ceramic Pads,BE914H,41.99,25,2024-12-03 00:00:00.000,1,35
36,Front Ceramic Pads,RSD914CH,49.68,21,2024-12-01 00:00:00.000,1,36
37,Rear Ceramic Pads,RSD1878CH,39.98,16,2024-12-01 00:00:00.000,1,37
38,Front Brake Rotor Bolt Or Screw,13824,7.57,15,2024-12-02 00:00:00.000,1,38
39,Front Ceramic Pads,BC914,55.74,18,2024-12-01 00:00:00.000,1,39
40,Front Ceramic Pads,ACT914A,102.71,14,2024-12-03 00:00:00.000,1,40
41,Rear Ceramic Pads,MGD1878CH,52.65,23,2024-12-01 00:00:00.000,1,41
42,Front Disc Brake Rotor,121.40036,51.30,12,2024-12-01 00:00:00.000,1,42
43,Vented Front Disc Brake Rotor,982053R,69.00,25,2024-12-01 00:00:00.000,1,43
44,Front Disc Brake Rotor,JBR709EVC,58.83,21,2024-12-01 00:00:00.000,1,44
45,Front Hybrid Pads,EHT914H,66.47,16,2024-12-03 00:00:00.000,1,45
46,Front Premium Rotor,120.40036,84.68,15,2024-12-01 00:00:00.000,1,46
47,Emergency Brake Actuator Kit,EPB030,488.35,18,2024-12-01 00:00:00.000,1,47
48,Solid Rear Disc Brake Rotor,982073R,38.27,23,2024-12-02 00:00:00.000,1,48
49,Front Ceramic Pads,10-914,40.91,12,2024-12-01 00:00:00.000,1,49
50," Front Ceramic Pads",MGD914CH,49.87,25,2024-12-03 00:00:00.000,1,50
51," Silver Coated Disc Brake Rotors",18A82073AC,54.40,21,2024-12-01 00:00:00.000,1,51
52,Brake Adapter Fittings,643961,33.73,16,2024-12-01 00:00:00.000,1,52
53,Front Semi Metallic Pads,SIM-914,27.90,15,2024-12-01 00:00:00.000,1,53
54,Disc Brake Caliper Piston,7167,24.61,18,2024-12-01 00:00:00.000,1,54
55,"Micro Plug Relay ",933332051,14.42,14,2024-12-03 00:00:00.000,1,55
56,"Micro Plug Relay ",933332291,15.02,23,2024-12-01 00:00:00.000,1,56
57,Brake Adapter Fittings,640511,30.04,12,2024-12-01 00:00:00.000,1,57
58,Brake Hydraulic Hose Fitting,641291,27.65,25,2024-12-02 00:00:00.000,1,58
59,"Micro Plug Relay ",933332011,15.08,21,2024-12-01 00:00:00.000,1,59
60,Brake Hydraulic Hose Fitting,641431,27.27,16,2024-12-03 00:00:00.000,1,60
61,"Rear Semi Metallic Pads ",SIM-1878,33.53,15,2024-12-01 00:00:00.000,1,61
62,"Front Wheel ABS Sensor ",ALS3064,39.61,18,2024-12-01 00:00:00.000,1,62
63,"Rear Semi Metallic Pads ",PPF-D1878,35.66,23,2024-12-01 00:00:00.000,1,63
64,Driver Side ABS Wheel Speed Sensor,2ABS3508,34.44,12,2024-12-01 00:00:00.000,1,64
65,Rear Wheel ABS Sensor,ALS3004,61.61,25,2024-12-03 00:00:00.000,1,65
66,Rear Ceramic Pads,NXT1878,71.77,21,2024-12-01 00:00:00.000,1,66
67,Brake Hydraulic Line,656020,37.18,16,2024-12-01 00:00:00.000,1,67
68,Front Ceramic Pads,TEC-914,41.45,15,2024-12-02 00:00:00.000,1,68
69,Front Semi Metallic Pads,PMD914S,31.76,18,2024-12-01 00:00:00.000,1,69
70,Rear Ceramic Pads,1551-1878-00,46.11,14,2024-12-03 00:00:00.000,1,70
